ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,8,470,6212,470
2,9,1280,6212,1280
3,10,2090,6212,2090
3,10,3090,6212,3090
3,10,4090,6212,4090
3,10,5090,6212,5090
4,11,5900,6212,5900
4,11,6120,6212,6120
5,12,6490,6212,6490
5,12,7490,6212,7490
6,20,8490,6212,8490
7,21,9300,6212,9300
7,21,9300,6212,9300
7,21,10300,6212,10300
7,21,10300,6212,10300
8,29,10300,6212,10300
8,29,11300,6212,11300
8,29,11300,6212,11300
9,30,12300,6212,12300
10,31,13110,6212,13110
11,33,14110,6212,14110
11,33,15110,6212,15110
11,33,15110,6212,15110
12,41,16110,6212,16110
13,42,16580,6212,16580
13,42,17580,6212,17580
14,43,18390,6212,18390
14,43,19390,6212,19390
15,44,19860,6212,19860
16,45,20330,6212,20330
17,46,20790,6212,20790
17,46,21790,6212,21790
18,47,22600,6212,22600
18,47,23600,6212,23600
18,47,24600,6212,24600
19,49,25600,6212,25600
19,49,26600,6212,26600
20,50,27410,6212,27410
21,51,28410,6212,28410
21,51,28410,6212,28410
21,51,28880,6212,28880
22,53,29880,6212,29880
22,53,30880,6212,30880
22,53,30880,6212,30880
23,54,31880,6212,31880
24,56,32880,6212,32880
24,56,33880,6212,33880
24,56,33990,6212,33990
25,64,34990,6212,34990
25,64,34990,6212,34990
25,64,35640,6212,35640
25,64,36640,6212,36640
25,64,36870,6212,36870
26,65,37870,6212,37870
26,65,38870,6212,38870
27,66,39870,6212,39870
27,66,40460,6212,40460
27,66,40930,6212,40930
27,66,41930,6212,41930
27,66,42930,6212,42930
28,67,43740,6212,43740
28,67,44740,6212,44740
28,67,45740,6212,45740
29,69,46740,6212,46740
29,69,47060,6212,47060
29,69,48060,6212,48060
30,73,49060,6212,49060
31,74,50060,6212,50060
32,75,50530,6212,50530
32,75,50530,6212,50530
33,76,51530,6212,51530
33,76,52530,6212,52530
34,78,53340,6212,53340
34,78,54340,6212,54340
34,78,55340,6212,55340
35,80,55800,6212,55800
35,80,56610,6212,56610
36,88,57610,6212,57610
36,88,57610,6212,57610
37,90,57930,6212,57930
37,90,58740,6212,58740
37,90,59740,6212,59740
37,90,60210,6212,60210
38,92,60530,6212,60530
