ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
3,17,1810,6212,1810
3,17,2810,6212,2810
3,17,3810,6212,3810
4,18,4620,6212,4620
5,19,5090,6212,5090
6,27,5740,6212,5740
7,28,6550,6212,6550
7,28,6780,6212,6780
8,29,7590,6212,7590
8,29,8590,6212,8590
9,31,9060,6212,9060
9,31,9520,6212,9520
9,31,9520,6212,9520
9,31,10520,6212,10520
10,32,10980,6212,10980
11,34,11440,6212,11440
12,35,12440,6212,12440
12,35,13440,6212,13440
12,35,13440,6212,13440
12,35,13910,6212,13910
13,43,13910,6212,13910
14,44,14720,6212,14720
14,44,14880,6212,14880
14,44,14880,6212,14880
15,45,15880,6212,15880
15,45,16880,6212,16880
15,45,17690,6212,17690
15,45,18690,6212,18690
16,47,18800,6212,18800
16,47,19800,6212,19800
16,47,19800,6212,19800
16,47,20270,6212,20270
16,47,21270,6212,21270
17,55,22270,6212,22270
17,55,23270,6212,23270
18,63,24270,6212,24270
18,63,25270,6212,25270
18,63,25740,6212,25740
18,63,25740,6212,25740
18,63,26740,6212,26740
18,63,26740,6212,26740
19,65,27740,6212,27740
19,65,28060,6212,28060
19,65,29060,6212,29060
20,73,29060,6212,29060
21,74,29380,6212,29380
22,75,30380,6212,30380
23,76,31190,6212,31190
23,76,31190,6212,31190
23,76,31560,6212,31560
23,76,32560,6212,32560
23,76,33560,6212,33560
24,77,34560,6212,34560
25,78,34880,6212,34880
25,78,35880,6212,35880
25,78,36880,6212,36880
25,78,37880,6212,37880
26,79,38690,6212,38690
26,79,39690,6212,39690
27,81,40690,6212,40690
27,81,41010,6212,41010
27,81,42010,6212,42010
28,82,43010,6212,43010
29,90,44010,6212,44010
29,90,45010,6212,45010
29,90,45010,6212,45010
